Symbol,Date,Open,High,Low,Close,Adj Close,Volume
ABMD,6/20/2018,441.100006,450.929993,441.100006,446.209991,446.209991,583000
ABMD,6/21/2018,450.059998,450.649994,433.51001,438.269989,438.269989,603200
ABMD,6/22/2018,443.149994,444.070007,426.98999,427.290009,427.290009,1043000
ABMD,6/25/2018,420.73999,421.98999,402.179993,416.200012,416.200012,1083000
ABMD,6/26/2018,419.230011,430.769989,413.019989,428.369995,428.369995,846300
ABMD,6/27/2018,429.200012,432.619995,409.579987,410.640015,410.640015,635300
ABMD,6/28/2018,409.089996,417.5,398,413.940002,413.940002,743200
ABMD,6/29/2018,419.140015,422.959991,408.850006,409.049988,409.049988,577200
ABMD,7/2/2018,407,415.309998,400.519989,412.51001,412.51001,422600
ABMD,7/3/2018,414.910004,414.970001,408.929993,409.529999,409.529999,314200
ABMD,7/5/2018,410.200012,411.399994,392.200012,400.579987,400.579987,882300
ABMD,7/6/2018,400.720001,409.51001,399,405.98999,405.98999,622900
ABMD,7/9/2018,407.880005,413.859985,403.160004,408.459991,408.459991,608700
ABMD,7/10/2018,413.089996,413.5,399.730011,405.149994,405.149994,644800
ABMD,7/11/2018,402.670013,408,399.179993,403.790009,403.790009,398900
ABMD,7/12/2018,408.190002,415.019989,408.160004,414.609985,414.609985,1290500
ABMD,7/13/2018,416.230011,421.109985,413.869995,418.76001,418.76001,530000
ABMD,7/16/2018,419.329987,421.76001,417.059998,419.380005,419.380005,610800
ABMD,7/17/2018,417.609985,428.609985,417.609985,427.369995,427.369995,1019700
ABMD,7/18/2018,430.190002,432.700012,426.769989,431.549988,431.549988,699700
ABMD,7/19/2018,431.940002,433.559998,425.329987,425.98999,425.98999,536600
ADBE,6/20/2018,253.5,254.800003,250.979996,251.240005,251.240005,2577500
ADBE,6/21/2018,252,252.720001,247.570007,248.830002,248.830002,2639700
ADBE,6/22/2018,248.110001,248.800003,243.259995,243.630005,243.630005,4124500
ADBE,6/25/2018,240.149994,241.960007,235.869995,239.679993,239.679993,4575400
ADBE,6/26/2018,240.669998,244.229996,239.660004,242.25,242.25,2998300
ADBE,6/27/2018,243.460007,244.979996,237.509995,237.679993,237.679993,3499500
ADBE,6/28/2018,236.589996,241.820007,236.440002,239.809998,239.809998,2217200
ADBE,6/29/2018,241.880005,245.490005,241.5,243.809998,243.809998,3774700
ADBE,7/2/2018,241.050003,243.330002,239.600006,243.259995,243.259995,4127400
ADBE,7/3/2018,244.720001,245.940002,241.669998,242.009995,242.009995,1307700
ADBE,7/5/2018,243.039993,244.619995,242.139999,244.179993,244.179993,1863400
ADBE,7/6/2018,244.479996,248.720001,243.220001,248.190002,248.190002,1889700
ADBE,7/9/2018,249.899994,250.660004,246.369995,249.770004,249.770004,2170700
ADBE,7/10/2018,250.470001,250.850006,248.210007,248.630005,248.630005,2012400
ADBE,7/11/2018,246.649994,249.740005,245.850006,248.119995,248.119995,1730600
ADBE,7/12/2018,249.940002,255.050003,249.380005,254.869995,254.869995,2761600
ADBE,7/13/2018,254.639999,259.51001,253.490005,258.589996,258.589996,3934100
ADBE,7/16/2018,258.630005,259.040009,253.830002,254.679993,254.679993,2165100
ADBE,7/17/2018,252.679993,258.679993,250.710007,258.309998,258.309998,2552000
ADBE,7/18/2018,257.859985,260.940002,256.540009,259.779999,259.779999,2637000
ADBE,7/19/2018,258,259.600006,256.359985,257.679993,257.679993,1941000
ALGN,6/20/2018,368.01001,369.200012,362.690002,364.700012,364.700012,794200
ALGN,6/21/2018,365.660004,369,359.149994,359.600006,359.600006,1019500
ALGN,6/22/2018,361.570007,363.959991,347.149994,353.269989,353.269989,1296500
ALGN,6/25/2018,350,350.470001,341.279999,346.299988,346.299988,1174100
ALGN,6/26/2018,349.269989,357.690002,348.299988,352.420013,352.420013,939900
ALGN,6/27/2018,352.420013,356.470001,342.26001,342.779999,342.779999,1009800
ALGN,6/28/2018,340.570007,345.899994,334.440002,343.799988,343.799988,1262200
ALGN,6/29/2018,345.709991,346.130005,341.700012,342.140015,342.140015,937600
ALGN,7/2/2018,334.899994,341.049988,332.01001,340.279999,340.279999,1047100
ALGN,7/3/2018,341.100006,344.519989,337.109985,338.679993,338.679993,475400
ALGN,7/5/2018,342.179993,343.230011,333.570007,341.380005,341.380005,737500
ALGN,7/6/2018,341.390015,349.700012,338.799988,347.470001,347.470001,641600
ALGN,7/9/2018,350.579987,354.119995,345.440002,348.970001,348.970001,784900
ALGN,7/10/2018,350,352.829987,347.25,351.450012,351.450012,594600
ALGN,7/11/2018,346.980011,352.399994,345.5,348.869995,348.869995,433400
ALGN,7/12/2018,350.309998,363.040009,350.309998,362.820007,362.820007,810200
ALGN,7/13/2018,364,368.970001,361.290009,363.450012,363.450012,734000
ALGN,7/16/2018,365,366.320007,358.019989,362.279999,362.279999,400600
ALGN,7/17/2018,359.589996,371.049988,357.459991,370.529999,370.529999,558900
ALGN,7/18/2018,373.859985,375.329987,367.809998,372.309998,372.309998,452100
ALGN,7/19/2018,369.880005,373.48999,365,370.320007,370.320007,560000
AMD,6/20/2018,16.83,17.129999,16.370001,16.52,16.52,76280600
AMD,6/21/2018,16.65,16.870001,15.46,15.65,15.65,95638400
AMD,6/22/2018,15.78,15.91,15.56,15.8,15.8,59257100
AMD,6/25/2018,15.64,15.74,14.54,15.11,15.11,94418400
AMD,6/26/2018,15.32,15.6,15.1,15.5,15.5,54213500
AMD,6/27/2018,15.65,15.76,14.96,14.97,14.97,56014300
AMD,6/28/2018,14.85,15.36,14.75,15.31,15.31,48716800
AMD,6/29/2018,15.41,15.49,14.98,14.99,14.99,41527800
AMD,7/2/2018,14.8,15.18,14.74,15.16,15.16,43398800
AMD,7/3/2018,15.21,15.34,14.96,15,15,32094000
AMD,7/5/2018,15.13,15.5,15.02,15.5,15.5,40703300
AMD,7/6/2018,15.52,16.389999,15.48,16.360001,16.360001,65101700
AMD,7/9/2018,16.73,16.84,16.17,16.610001,16.610001,58525500
AMD,7/10/2018,16.59,16.65,16.309999,16.549999,16.549999,37093000
AMD,7/11/2018,16.15,16.530001,16.02,16.27,16.27,42544100
AMD,7/12/2018,16.41,16.790001,16.379999,16.559999,16.559999,44188100
AMD,7/13/2018,16.68,16.690001,16.219999,16.27,16.27,40614100
AMD,7/16/2018,16.42,17,16.41,16.58,16.58,65275300
AMD,7/17/2018,16.5,16.879999,16.48,16.870001,16.870001,42313500
AMD,7/18/2018,16.940001,16.99,16.549999,16.85,16.85,40881500
AMD,7/19/2018,16.709999,16.879999,16.549999,16.709999,16.709999,41196900
AMZN,6/20/2018,1742.5,1762.930054,1741.359985,1750.079956,1750.079956,4332600
AMZN,6/21/2018,1760,1763.099976,1717.560059,1730.219971,1730.219971,4941100
AMZN,6/22/2018,1742.619995,1743,1711.900024,1715.670044,1715.670044,4075100
AMZN,6/25/2018,1702.51001,1705,1646.310059,1663.150024,1663.150024,7511200
AMZN,6/26/2018,1672.369995,1701.569946,1663.339966,1691.089966,1691.089966,4386600
AMZN,6/27/2018,1708.109985,1711.949951,1660,1660.51001,1660.51001,4872200
AMZN,6/28/2018,1672.540039,1705.5,1661.170044,1701.449951,1701.449951,4529700
AMZN,6/29/2018,1717,1723.410034,1694.319946,1699.800049,1699.800049,4543500
AMZN,7/2/2018,1682.699951,1713.890015,1678.060059,1713.780029,1713.780029,3185700
AMZN,7/3/2018,1723.959961,1725,1692.47998,1693.959961,1693.959961,2177300
AMZN,7/5/2018,1705.380005,1710.689941,1682.150024,1699.72998,1699.72998,2983100
AMZN,7/6/2018,1696,1715.27002,1691.670044,1710.630005,1710.630005,2650300
AMZN,7/9/2018,1724.050049,1739.560059,1716.22998,1739.02002,1739.02002,3012000
AMZN,7/10/2018,1738.530029,1750,1731,1743.069946,1743.069946,3002900
AMZN,7/11/2018,1737.98999,1756.959961,1734,1755,1755,3209800
AMZN,7/12/2018,1764.51001,1798,1762.180054,1796.619995,1796.619995,4532700
AMZN,7/13/2018,1803.930054,1815.300049,1795.22998,1813.030029,1813.030029,4383200
AMZN,7/16/2018,1821.949951,1841.949951,1814.449951,1822.48999,1822.48999,5466200
AMZN,7/17/2018,1811.560059,1851.689941,1797.380005,1843.930054,1843.930054,5682900
AMZN,7/18/2018,1848,1858.880005,1831.27002,1842.920044,1842.920044,4861900
AMZN,7/19/2018,1829.459961,1841,1811.27002,1812.969971,1812.969971,4624200
APC,6/20/2018,69.769997,70.389999,68.739998,70.099998,70.099998,4941400
APC,6/21/2018,69.75,70.080002,68.879997,69.459999,69.459999,4884400
APC,6/22/2018,72.239998,74.720001,71.959999,74.110001,74.110001,11491200
APC,6/25/2018,73.830002,74.349998,71.370003,71.889999,71.889999,4605600
APC,6/26/2018,72.190002,73.370003,71.370003,73.07,73.07,5008400
APC,6/27/2018,73.949997,75.5,73.879997,74.330002,74.330002,5773000
APC,6/28/2018,74.769997,75.099998,73.190002,73.580002,73.580002,4125500
APC,6/29/2018,73.529999,74.889999,73.220001,73.25,73.25,4443800
APC,7/2/2018,72.699997,72.760002,71.629997,72.440002,72.440002,3623900
APC,7/3/2018,73.589996,74.739998,72.980003,73.459999,73.459999,2185400
APC,7/5/2018,73.940002,74.239998,72.309998,72.580002,72.580002,2853800
APC,7/6/2018,71.889999,74,71.800003,73.660004,73.660004,2880400
APC,7/9/2018,74.230003,75.190002,74.230003,75.18,75.18,5557400
APC,7/10/2018,75.800003,76.699997,74.779999,75.470001,75.470001,4230200
APC,7/11/2018,74.5,75.220001,72.400002,73.349998,73.349998,3778000
APC,7/12/2018,73.589996,74.050003,72.610001,73.690002,73.690002,2887500
APC,7/13/2018,73.610001,75.269997,73.43,74.589996,74.589996,2825300
APC,7/16/2018,73.300003,73.900002,71.580002,72.839996,72.839996,3239700
APC,7/17/2018,72.150002,72.230003,70.940002,71.43,71.43,3855900
APC,7/18/2018,71.010002,71.730003,70.120003,71.5,71.5,3018400
APC,7/19/2018,71.150002,71.629997,70.470001,71.080002,71.080002,3377500
CMG,6/20/2018,469.299988,470.76001,462.160004,465.5,465.5,372800
CMG,6/21/2018,468.600006,473.959991,462.73999,463.160004,463.160004,507100
CMG,6/22/2018,469.190002,474.459991,464.079987,469.940002,469.940002,662000
CMG,6/25/2018,467,467.649994,450.589996,454.170013,454.170013,794100
CMG,6/26/2018,455.459991,465.149994,455,461.700012,461.700012,907700
CMG,6/27/2018,460,467.51001,455.200012,457.23999,457.23999,628600
CMG,6/28/2018,434.549988,440.440002,415.059998,428.359985,428.359985,2254100
CMG,6/29/2018,433,437.600006,429.279999,431.369995,431.369995,1022000
CMG,7/2/2018,427.980011,442.98999,424.359985,442.820007,442.820007,701300
CMG,7/3/2018,443.5,450.470001,441.019989,448.950012,448.950012,457000
CMG,7/5/2018,450,450,444.630005,448.019989,448.019989,472500
CMG,7/6/2018,449.850006,451.820007,445.619995,451.040009,451.040009,573500
CMG,7/9/2018,454.380005,464.570007,452.76001,463.890015,463.890015,729900
CMG,7/10/2018,455.720001,461.140015,452.559998,454.209991,454.209991,671300
CMG,7/11/2018,452.73999,459.790009,452.170013,457.179993,457.179993,580600
CMG,7/12/2018,459.890015,464.390015,458.399994,459.049988,459.049988,405100
CMG,7/13/2018,458.600006,461,456.670013,457.209991,457.209991,349400
CMG,7/16/2018,455.160004,458.220001,448.950012,452.059998,452.059998,531900
CMG,7/17/2018,451.290009,459.779999,448.529999,452.540009,452.540009,531500
CMG,7/18/2018,453.769989,454.73999,448.200012,453.579987,453.579987,308300
CMG,7/19/2018,453,458.309998,452,454.829987,454.829987,291500
FOXA,6/20/2018,47.59,48.52,47.259998,48.080002,48.080002,66699000
FOXA,6/21/2018,48.689999,49.240002,48.18,48.349998,48.349998,37866000
FOXA,6/22/2018,48.599998,49.189999,48.52,48.610001,48.610001,15500800
FOXA,6/25/2018,48.5,48.650002,47.849998,48.139999,48.139999,14087500
FOXA,6/26/2018,48.220001,48.66,47.5,47.68,47.68,23826000
FOXA,6/27/2018,48.48,49.049999,47.889999,48.799999,48.799999,29347100
FOXA,6/28/2018,49.130001,49.830002,49.060001,49.790001,49.790001,16554100
FOXA,6/29/2018,49.610001,50.150002,49.48,49.689999,49.689999,13211400
FOXA,7/2/2018,49.560001,49.880001,48.93,49.200001,49.200001,11455000
FOXA,7/3/2018,49.400002,49.5,48.389999,48.599998,48.599998,7087700
FOXA,7/5/2018,49.040001,49.080002,48.290001,48.740002,48.740002,13220900
FOXA,7/6/2018,48.860001,49.150002,48.59,48.93,48.93,14853100
FOXA,7/9/2018,48.919998,49.59,48.48,49.560001,49.560001,12522000
FOXA,7/10/2018,49.560001,50.060001,49.549999,49.77,49.77,12638500
FOXA,7/11/2018,49.299999,49.32,47.240002,47.790001,47.790001,37977100
FOXA,7/12/2018,47.970001,48.060001,47.25,47.380001,47.380001,21256000
FOXA,7/13/2018,47.110001,47.630001,46.98,47.560001,47.560001,21135000
FOXA,7/16/2018,47.48,47.509998,46.279999,46.709999,46.709999,18565900
FOXA,7/17/2018,46.450001,46.889999,46.380001,46.470001,46.470001,13024100
FOXA,7/18/2018,46.360001,46.830002,46.360001,46.68,46.68,7698200
FOXA,7/19/2018,46,46.650002,45.709999,46.650002,46.650002,41717100
HES,6/20/2018,62.299999,63.16,61.720001,62.639999,62.639999,5572100
HES,6/21/2018,62.209999,62.310001,61.360001,61.709999,61.709999,3545600
HES,6/22/2018,63.599998,65.220001,63.290001,64.57,64.57,6791900
HES,6/25/2018,64.169998,64.580002,62.139999,62.290001,62.290001,4374900
HES,6/26/2018,62.720001,63.959999,61.91,63.77,63.77,2553800
HES,6/27/2018,64.889999,67.150002,64.849998,65.57,65.57,5399900
HES,6/28/2018,65.93,66.330002,64.879997,65.559998,65.559998,3294400
HES,6/29/2018,66.269997,68.400002,66.089996,66.889999,66.889999,5443100
HES,7/2/2018,65.870003,66.230003,64.440002,64.889999,64.889999,3023800
HES,7/3/2018,65.910004,67.68,65.559998,65.959999,65.959999,1713400
HES,7/5/2018,66.620003,66.919998,65.82,66.379997,66.379997,2664300
HES,7/6/2018,65.709999,67.889999,65.629997,67.550003,67.550003,2138700
HES,7/9/2018,68.150002,69.25,67.779999,69.209999,69.209999,2639300
HES,7/10/2018,69.900002,71.139999,69,69.599998,69.599998,2530800
HES,7/11/2018,68.480003,69.019997,66.019997,66.82,66.82,3845100
HES,7/12/2018,67.419998,67.779999,65.650002,66.739998,66.739998,3117500
HES,7/13/2018,66.809998,67.459999,66.400002,66.540001,66.540001,3040900
